id,name,smiles,C_4,H_4,N_4,O_4,C_7,H_7,N_7,O_7,C_prime,N_prime,O_prime
340,,N#N=Nc2c(N(=O)=O)nn(CCn1nnnc1N)c2N(=O)=O,6,6,12,4,2,6,2,0,4,10,4
341,,N#N=Nc2nn(CCn1nnnc1N)c(N=N#N)c2N(=O)=O,6,6,14,2,2,6,2,0,4,12,2
342,,Nc1nnnn1CCn2cnc(N(=O)=O)n2,5,7,9,2,2,7,2,0,3,7,2
343,,Nc1nnnn1CCn2nc(N(=O)=O)nc2N,5,8,10,2,2,8,4,0,3,6,2
344,,Nc1nnnn1CCn2nnc(N(=O)=O)n2,4,6,10,2,2,6,2,0,2,8,2
345,,O=N(=O)N=c1[nH]nnn1CCn2cnc(N(=O)=O)n2,5,6,10,4,2,6,2,0,3,8,4
346,,O=N(=O)N=c1[nH]nnn1CCn2nc(N(=O)=O)nc2NN(=O)=O,5,6,12,6,2,6,3,0,3,9,6
347,,Nc1nc(N(=O)=O)nn1CCn2nc(N(=O)=O)nc2N,6,8,10,4,2,8,4,0,4,6,4
348,,O=N(=O)Nc1nc(N(=O)=O)nn1CCn2nc(N(=O)=O)nc2NN(=O)=O,6,6,12,8,2,6,3,0,4,9,8
349,,Nc1non(=O)c1c2non(=O)c2c3c(N)non3=O,6,4,8,6,0,4,2,3,6,6,3
350,,O=n4onc3nnc1non(=O)c1c2c(non2=O)c34,6,0,8,6,0,0,0,3,6,8,3
351,,O=N(=O)c1non(=O)c1c2non(=O)c2c3c(N(=O)=O)non3=O,6,0,8,10,0,0,0,3,6,8,7
352,,C/N=N(=O)/c1nonc1N(CN(c2nonc2/N(=O)=N/C)N(=O)=O)N(=O)=O,7,8,12,8,3,8,2,2,4,10,6
353,,C/N=N(=O)/c1nonc1NN(=O)=O,3,4,6,4,1,4,1,1,2,5,3
354,,O=N(=O)N(CN(c1nonc1c2ncon2)N(=O)=O)c3nonc3c4ncon4,9,4,12,8,1,4,2,2,8,10,6
355,,N=C(NN)c1nonc1N(CN(c2nonc2C(=N)NN)N(=O)=O)N(=O)=O,7,10,14,6,1,10,6,2,6,8,4
356,,O=N(=O)N(CCN(c1nonc1c2ncon2)N(=O)=O)c3nonc3c4ncon4,10,6,12,8,2,6,2,2,8,10,6
357,,N=C(NN)c1nonc1N(CCN(c2nonc2C(=N)NN)N(=O)=O)N(=O)=O,8,12,14,6,2,12,6,2,6,8,4
358,3·H2O,Nc1nnnn1c2nc(N(=O)=O)n[nH]2,3,3,9,2,0,3,2,0,3,7,2
359,4·H2O,O=N(=O)c2n[nH]c(n1ncc(N(=O)=O)c1N(=O)=O)n2,5,2,8,6,0,2,1,0,5,7,6
360,,O=N(=O)c2ncn(c1nc(N(=O)=O)n[nH]1)n2,4,2,8,4,0,2,1,0,4,7,4
361,6·H2O,Nc1nc(N(=O)=O)nn1c2nc(N(=O)=O)n[nH]2,4,3,9,4,0,3,2,0,4,7,4
362,,Nn1nc(N(=O)=O)nc1n2cnc(N(=O)=O)n2,4,3,9,4,0,3,2,0,4,7,4
363,,Nn2nc(n1cnc(N(=O)=O)n1)nc2N(=O)=O,4,3,9,4,0,3,2,0,4,7,4
364,,N#[N+]c2[n-]c(c1nc(N(=O)=O)c([N+]#N)[n-]1)nc2N(=O)=O,6,0,10,4,0,0,0,0,6,10,4
365,,N#[N+]c2[n-]nc(c1n[n-]c([N+]#N)c1N(=O)=O)c2N(=O)=O,6,0,10,4,0,0,0,0,6,10,4
366,,O=N(=O)N=c1[nH]ccn1CCn2cc(N(=O)=O)cn2,8,9,7,4,2,9,2,0,6,5,4
367,,O/N=N/c1nnnn1CCn2cccn2,6,8,8,1,2,8,1,1,4,7,0
368,,Nc1nnnn1CCn2nc(N(=O)=O)c(N)c2N(=O)=O,6,8,10,4,2,8,2,0,4,8,4
369,,Nc1nnnn1CCn2nc(N(=O)=O)c(N(=O)=O)c2N(=O)=O,6,6,10,6,2,6,2,0,4,8,6
370,,CCCCn1nc(N(=O)=O)c(N)c1N(=O)=O.Nc1nnn[nH]1,8,14,10,4,4,14,1,0,4,9,4
371,,CCCCn1nc(N(=O)=O)c(N(=O)=O)c1N(=O)=O.Nc1nnn[nH]1,8,12,10,6,4,12,2,0,4,8,6
372,,O=N(=O)C(c2ncn(Cn1cnc(C(N(=O)=O)N(=O)=O)n1)n2)N(=O)=O,7,6,10,8,3,6,0,0,4,10,8
373,,O=N(=O)C(c2ncn(Cn1cnc(C(N(=O)=O)(N(=O)=O)N(=O)=O)n1)n2)(N(=O)=O)N(=O)=O,7,4,12,12,3,4,0,0,4,12,12
374,,O=N(=O)C(c1ncn(C(N(=O)=O)(N(=O)=O)N(=O)=O)n1)(N(=O)=O)N(=O)=O,4,1,9,12,2,1,1,0,2,8,12
375,,O/N=C(c1nnn[nH]1)/c2nnn[nH]2,3,3,9,1,0,3,0,1,3,9,0
376,,N/N=C(c1nnn[nH]1)/c2nnn[nH]2,3,4,10,0,0,4,1,0,3,9,0
377,,O=n4onc3c1nc[nH]c1c2non(=O)c2c34,7,2,6,4,0,2,1,2,7,5,2
378,,O=N(=O)n4cnc3c1non(=O)c1c2c(non2=O)c34,7,1,7,6,0,1,1,2,7,6,4
379,,O=c2[nH]c1c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1[nH]2,7,2,6,9,0,2,2,0,7,4,9
380,,Nc1[nH]c(N(=O)=O)nc1N(=O)=O,3,3,5,4,0,3,1,0,3,4,4
381,,Nc1c(N(=O)=O)nc(N(=O)=O)n1N,3,4,6,4,0,4,2,0,3,4,4
382,,Nc1nnn(N)c1N(=O)=O,2,4,6,2,0,4,2,0,2,4,2
383,,Nc1nn(N)nc1N(=O)=O,2,4,6,2,0,4,2,0,2,4,2
384,,Nc1c(N(=O)=O)nnn1N,2,4,6,2,0,4,2,0,2,4,2
385,,Nc2nnc(c1nonc1N)o2,4,4,6,2,0,4,2,2,4,4,0
386,,Nc2[nH+]nc(c1nonc1[N-]N(=O)=O)o2,4,3,7,4,0,3,0,3,4,7,1
