method,n_conformers,model,n_params,subset,n_molecules,adj_r2,rmsd,mad,max_dev,cv_rmsd,time_sec,hardware
gXTB,3.0,hybrid,9,cawkwell,102,0.9872739886947876,4.7014636410406645,3.518062561984906,15.2395543652447,5.191148539672018,15.198171615600586,CPU
gXTB,3.0,bondorder,9,cawkwell,102,0.9913349986515622,3.8794597181305424,2.968689076731835,11.132885167395584,4.600923311183233,15.198171615600586,CPU
gXTB,3.0,bondorder_ext,15,cawkwell,102,0.9914376755155327,3.72853378352855,2.832194229403488,10.673893718869664,4.715278975498348,15.198171615600586,CPU
gXTB,3.0,bondorder_ar,12,cawkwell,102,0.9912542834658218,3.8334139379091936,2.9557455208812327,10.960882315025088,4.629775119944333,15.198171615600586,CPU
gXTB,3.0,extended,14,cawkwell,102,0.9873437394356972,4.559375338413797,3.350483629359356,14.0932149510691,5.284945227422636,15.198171615600586,CPU
gXTB,3.0,neighbour,22,cawkwell,102,0.991783082565656,3.50074939951862,2.474753721989832,15.621400509402156,18665.29983735397,15.198171615600586,CPU
gXTB,5.0,4param,4,all,310,0.9881788822528184,4.007603049678441,3.003070688113786,15.199583260386134,4.145280583442956,15.433056592941284,CPU
gXTB,5.0,7param,7,all,310,0.9913664930514527,3.40802365113399,2.431002275437827,13.91616834801971,3.635680876185371,15.433056592941284,CPU
gXTB,5.0,hybrid,9,all,310,0.9906389807225556,3.5369400952438674,2.459155733910491,13.96332450416871,3.853071352255934,15.433056592941284,CPU
gXTB,5.0,bondorder,9,all,310,0.9920543982106924,3.258588588709564,2.3519162123380517,11.637983000988612,3.634099187397612,15.433056592941284,CPU
gXTB,5.0,bondorder_ext,15,all,310,0.9924173928876188,3.151290565704419,2.3104270322821048,11.160977826503228,3.599289966396813,15.433056592941284,CPU
gXTB,5.0,bondorder_ar,12,all,310,0.992050749383505,3.2429990868987373,2.35783824691666,11.276633370135102,3.6995457261550126,15.433056592941284,CPU
gXTB,5.0,extended,14,all,310,0.9910440542028176,3.4306170630345654,2.4175381370765687,14.311808434044949,3.835506220203458,15.433056592941284,CPU
gXTB,5.0,neighbour,22,all,310,0.9926654672128474,3.0621938691155326,2.1939582105578195,15.817817734694108,10601.127927103793,15.433056592941284,CPU
gXTB,5.0,4param,4,cawkwell,102,0.984811861369792,5.273891116275999,4.125769955765668,14.73515887549729,5.501207441522259,15.433056592941284,CPU
gXTB,5.0,7param,7,cawkwell,102,0.9896224127660876,4.291460692451698,3.294153083744394,12.171892959115212,4.77901711058381,15.433056592941284,CPU
gXTB,5.0,hybrid,9,cawkwell,102,0.9872352783318108,4.708608738198776,3.5213514928103216,15.45553114331328,5.1967046030310815,15.433056592941284,CPU
gXTB,5.0,bondorder,9,cawkwell,102,0.9913123159660558,3.884534100031584,2.971127717209165,11.154028321884113,4.604647642898686,15.433056592941284,CPU
gXTB,5.0,bondorder_ext,15,cawkwell,102,0.991406151444406,3.7353911840577982,2.8358705332729093,10.692611697339458,4.723382872203124,15.433056592941284,CPU
gXTB,5.0,bondorder_ar,12,cawkwell,102,0.9912306695567544,3.8385856620694967,2.9587416908214696,10.988363861577824,4.633852010590506,15.433056592941284,CPU
gXTB,5.0,extended,14,cawkwell,102,0.987306300625608,4.566113961433181,3.3542881964065105,14.27472333687824,5.291425438075769,15.433056592941284,CPU
